"LongCode	"," ShortCode	 ", Code Description
"Erupt*RCrB	 "," RC*	", Variable Star of R CrB type
"RCrB_Candidate	"," RC?	","	 Variable Star of R CrB type candiate"
RotV*," Ro*	","	 Rotationally variable Star"
"RotV*alf2CVn	","	 a2*	","	 Variable Star of alpha2 CVn type"
Pulsar,"	 Psr	 ",Pulsar
"BYDra	 "," BY*	 ","	 Variable of BY Dra type"
"RSCVn	 ","	 RS*	 ","	 Variable of RS CVn type"
"PulsV*	 ","	 Pu*	 ","	 Pulsating variable Star"
RRLyr,"	 RR*	 ",Variable Star of RR Lyr type
"Cepheid	 ","	 Ce*	 ","	 Cepheid variable Star"
PulsV*delSct,"	 dS*	 ","	 Variable Star of delta Sct type"
"PulsV*RVTau	"," RV*	 ", Variable Star of RV Tau type
"PulsV*WVir	 ","	 WV*	 ","	 Variable Star of W Vir type"
"PulsV*bCep	 "," bC*	",Variable Star of beta Cep type
"deltaCep	","cC*	 ", Classical Cepheid (delta Cep type)
"gammaDor	"," gD*	 ", Variable Star of gamma Dor type
"pulsV*SX	 "," SX*	 ",Variable Star of SX Phe type (subdwarf)
"LPV*	","LP*	", Long-period variable starPositionDescriptor
"Mira	 ","	 Mi*	", Variable Star of Mira Cet type
"semi-regV*	","	 sr*	", Semi-regular pulsating Star
"SN	","	 SN*	",SuperNova
Sub-stellar,"	 su*	",Sub-stellar object
"Planet?	","	 Pl?	",Extra-solar Planet Candidate
"Planet	 "," Pl 	 ", Extra-solar Confirmed Planet
