name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
23 Lib c,Confirmed,,0.03,0.03,0.82,0.03,0.03,,,,5000.0,400.0,400.0,5.8,0.5,0.5,0.12,0.02,0.02,,,,0.261261,2009,2024-05-28,195.0,48.0,48.0,11100.0,600.0,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 134987 c,,23 Lib,228.3666667,-25.3091667,6.45,,,,,22.2,1.1,1.1,0.25,0.02,0.02,1.07,0.08,0.08,1.25,0.04,0.04,G5 V,9.7,3.7,3.7,5740.0,23.0,23.0,,,HD 134987
24 Boo b,Confirmed,,0.11,0.11,0.91,0.11,0.11,,,,30.3506,0.0078,0.0078,0.19,0.009,0.012,0.042,0.029,0.048,,,,,2018,2023-08-07,210.0,130.0,100.0,2450008.6,7.9,10.1,,,,,,,,,,,,,,,,,,,59.9,3.3,3.3,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,24 Bo&ouml;,217.162500013,49.845000026,5.6,,,,,100.0,2.5,2.5,-0.77,0.03,0.03,0.99,0.13,0.19,10.64,0.59,0.84,G3IV,6.92,4.8,4.8,4893.0,15.0,15.0,,,
24 Sex b,Confirmed,,0.11,0.11,1.84,0.11,0.11,,,,452.8,4.5,2.1,1.333,0.009,0.004,0.09,0.06,0.14,,,,0.017821,2010,2021-10-02,9.2,165.4,277.9,2454762.0,172.3,172.3,,,,,,,,,,,,,,,,,,,33.2,1.6,1.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,24 Sex,155.868205808,-0.902243675771,7.38,,,,,72.2084,0.6832,0.6832,-0.03,0.04,0.04,1.54,0.08,0.08,4.9,0.08,0.08,G5,2.7,0.4,0.4,5098.0,44.0,44.0,,,
24 Sex c,Confirmed,,0.2,0.2,1.52,0.2,0.2,,,,883.0,14.0,32.0,2.08,0.02,0.05,0.29,0.09,0.16,,,,0.027807,2010,2021-10-02,220.5,320.9,182.2,2454930.0,96.5,96.5,,,,,,,,,,,,,,,,,,,23.5,2.9,2.9,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,24 Sex,155.868205808,-0.902243675771,7.38,,,,,72.2084,0.6832,0.6832,-0.03,0.04,0.04,1.54,0.08,0.08,4.9,0.08,0.08,G5,2.7,0.4,0.4,5098.0,44.0,44.0,,,
2M1510 (AB)b,Confirmed,0.031,,,,,,,,,100.0,,,,,,,,,90.0,,,,2025,2025-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,2M1510(AB),227.699375,-28.30486388888889,,,,,,35.51,0.02,0.02,,,,0.066,,,,,,,,,,,,,,,2MASS J15104786-2818174
2MASS J0103-5515 (AB)b,Confirmed,10.5,1.1,1.1,,,,1.54,0.03,0.03,,,,84.0,,,,,,,,,,2013,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,1731.0,96.0,96.0,,,,,,,Published in a refereed paper,Imaging,Spectrum,Flux,"Delorme 1 (AB)b, 2MASS J01033563-5515561 (AB)b",H,2MASS J0103-5515,15.9,-55.2656,,,7.5,,,47.2,3.1,3.1,,,,0.4,,,,,,M,0.03,,,,,,,,"Delorme 1, 2MASS J01033563-5515561"
2MASS J0437+2651 b,Confirmed,4.0,,,,,,,,,,,,118.0,1.3,1.3,,,,,,,,2021,2024-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450.0,,,,,,Published in a refereed paper,Imaging,Spectrum,,2M 0437 b,,2MASS J0437+2651,69.3405544,26.850296,15.7,,,,,128.1,0.5,0.5,0.01,0.05,0.05,0.0165,0.0015,0.0015,0.84,0.11,0.11,M4V,0.0025,0.0004,0.0004,3100.0,100.0,100.0,,,"2M0437A, 2MASS J04372171+2651014"
2MASS J0534-0530 b,Confirmed,4.6,0.13,0.13,,,,,,,,,,198.5,,,,,,,,,0.48,2020,2025-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,2MASS J05342857-0530325 b,,2MASS J0534-0530,83.61902968,-5.509038831,20.2,16.24,14.6,14.0,13.7,413.5,,,,,,0.07,,,0.74,,,M4.1e,0.0033,,,2841.0,,,,,2MASS J05342857-0530325
2MASS J0558-4501 b,Confirmed,9.0,3.0,3.0,,,,,,,,,,1043.0,,,,,,,,,,2024,2025-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,"2MASS J05581644-4501559 b, 2MASS J05581644-4501559 B",,2MASS J0558-4501,89.56833333333333,-45.032472222222225,,,,,,,,,,,,,,,,,,M4V,,,,,,,,,2MASS J05581644-4501559 A
2MASS J1155-7919 b,Confirmed,10.0,,,,,,,,,,,,582.0,,,,,,,,,,2020,2025-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Astrometry,Spectrum,,,,2MASS J1155-7919,178.769,-79.32,14.0,,,,,101.15,0.5,0.5,,,,,,,,,,M3,0.005,,,,,,,,
2MASS J1252+2735 b,Confirmed,,0.64,0.21,6.88,0.64,0.21,,,,35.08,0.12,0.12,,,,0.0,,,,,,,2021,2025-07-21,,,,,,,,,,,,,,,,,,,,,,,,,502.0,104.0,75.0,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,2MASS J12525132+2735131 b,,2MASS J1252+2735,193.212500017,27.586944459,11.8,,,,,197.2,4.0,4.0,-0.324,0.0079,0.0079,0.88,0.108,0.108,1.076,0.068,0.068,G8V,,,,5181.0,128.0,128.0,,,"NGP 28 123, TYC 1995-01627-1, 2MASS J12525132+2735131"
2MASS J1253+2734 b,Confirmed,,0.2,1.8,8.3,0.2,1.8,,,,24.31,0.021,0.021,,,,0.681,0.053,0.053,,,,,2021,2025-07-21,,,,,,,,,,,,,,,,,,,,,,,,,1070.0,170.0,1450.0,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,2MASS J12530085+2734189 b,,2MASS J1253+2734,193.254166667,27.57194446,13.8,,,,,196.184,1.05,1.05,-0.256,0.0079,0.0079,0.71,0.083,0.083,0.633,0.053,0.053,K5V,,,,4535.0,134.0,134.0,,,"UCAC4 588-049886, 2MASS J12530085+2734189"
2MASS J1258+2630 b,Confirmed,,0.18,0.31,3.4,0.18,0.31,,,,11.88,0.19,0.19,,,,0.598,0.084,0.084,,,,,2021,2024-07-17,,,,,,,,,,,,,,,,,,,,,,,,,550.0,120.0,410.0,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,2MASS J12582326+2630091 b,,2MASS J1258+2630,194.595833341,26.502500012,12.69,,9.78,9.07,8.89,58.5849,0.1455,0.1455,,,,0.5898,0.02,0.02,0.602,0.0178,0.0178,M1.3V,,,,3825.0,157.0,157.0,,,"2MASS J12582326+2630091, UCAC3 234-106607"
2MASS J2236+4751 b,Confirmed,12.5,1.5,1.5,,,,,,,,,,230.0,20.0,20.0,,,,,,,3.7,2016,2024-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050.0,,,,,,Published in a refereed paper,Imaging,Spectrum,,2MASS J22362452+4751425 b,"CO, H2O",2MASS J2236+4751,339.104166675,47.861944471,12.5,,,,,63.0,,,,,,0.6,0.05,0.05,,,,K7V,0.12,0.01,0.01,,,,,,2MASS J22362452+4751425
38 Vir b,Confirmed,,0.5,0.5,4.51,0.5,0.5,,,,825.9,6.2,6.2,1.82,0.07,0.07,0.03,0.04,0.04,,,,,2016,2017-02-20,,,,,,,,,,2455490.2,177.3,177.3,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,,HD 111998 b,,38 Vir,193.296489462,-3.55309929126,6.11,,,,,,,,0.07,,,1.18,0.12,0.12,1.45,0.07,0.07,F6 V,1.9,0.7,0.6,6557.0,96.0,96.0,,,"HD 111998, HIP 62875"
41 Com Ab,Confirmed,,1.0,1.0,6.3,1.0,1.0,,,,610.2,3.8,3.8,1.6,0.1,0.1,0.28,0.12,0.12,,,,,2017,2024-08-01,92.06,17.25,17.25,2455602.4,24.0,24.0,,,,,,,,,,,,,,,,,,,120.0,9.0,9.0,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HD 113996 b,,41 Com,196.795833337,27.624722241,4.9,,,,,102.0,2.5,2.5,0.13,0.08,0.08,1.49,0.18,0.18,25.11,1.2,1.2,K5III,3.24,1.2,1.2,4181.0,40.0,40.0,,,HD 113996
44 Uma b,Confirmed,,0.85,0.2,12.11,0.85,0.2,,,,785.74,4.77,4.8,2.16,0.06,0.02,0.11,0.06,0.06,,,,,2020,2020-10-26,135.6,45.6,40.66,2453560.34,90.8,98.9,,,,,,,,,,,,,,,,,,,158.74,8.62,8.55,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,44 Uma,163.39355033875404,54.58512741108192,5.12,,,,,200.4,12.43,14.19,-0.21,0.1,0.1,2.19,0.43,0.1,45.12,2.32,1.97,K3 III,1.05,0.18,0.5,4215.0,13.0,13.0,,,
47 UMa b,Confirmed,,0.06,0.07,2.53,0.06,0.07,,,,1078.0,2.0,2.0,2.1,0.02,0.02,0.032,0.014,0.014,,,,0.150322,1996,2024-07-20,334.0,23.0,23.0,2451917.0,76.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,47 UMa,164.8708333,40.4294444,5.1,,,,,13.97,1.91,1.91,0.0,0.07,0.07,1.03,0.05,0.05,1.24,0.04,0.04,G0V,7.4,1.9,1.9,5892.0,70.0,70.0,,,
47 UMa c,Confirmed,,0.073,0.066,0.54,0.073,0.066,,,,2391.0,87.0,100.0,3.6,0.1,0.1,0.098,0.096,0.047,,,,0.257695,2001,2024-07-20,295.0,160.0,114.0,2456441.0,825.0,628.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,47 UMa,164.8708333,40.4294444,5.1,,,,,13.97,1.91,1.91,0.0,0.07,0.07,1.03,0.05,0.05,1.24,0.04,0.04,G0V,7.4,1.9,1.9,5892.0,70.0,70.0,,,
47 UMa d,Confirmed,,0.48,0.29,1.64,0.48,0.29,,,,14002.0,5095.0,4018.0,11.6,2.9,2.1,0.16,0.16,0.09,,,,0.830351,2010,2024-07-20,110.0,160.0,132.0,2451736.0,5051.0,6783.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,47 UMa,164.8708333,40.4294444,5.1,,,,,13.97,1.91,1.91,0.0,0.07,0.07,1.03,0.05,0.05,1.24,0.04,0.04,G0V,7.4,1.9,1.9,5892.0,70.0,70.0,,,
51 Eri Ab,Confirmed,4.1,0.5,0.5,,,,1.11,0.13,0.16,10260.0,1800.0,6300.0,11.1,1.3,4.2,0.49,0.15,0.15,136.0,11.0,11.0,,2015,2025-03-25,84.0,58.0,58.0,2452014.79,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,700.0,,,,,,,,3.5,Published in a refereed paper,Imaging,Spectrum,,,"CH4, H2O",51 Eri A,69.4005514287,-2.47354859817,5.223,,,,,29.4,0.3,0.3,-0.027,,,1.75,0.05,0.05,,,,F0IV,0.02,0.006,0.006,,,,IR Excess,,
51 Peg b,Confirmed,0.47,0.07,0.03,0.46,0.06,0.01,1.9,0.3,0.3,4.2308,3.72905e-05,3.72905e-05,0.052,,,0.0069,0.0066,0.0069,80.0,10.0,19.0,0.003537,1995,2024-09-01,54.1,72.3,72.3,2450404.4,,,,,,,,,,,,,,,,,,2497.0,0.022,0.022,55.65,0.53,0.53,,,,,,0.5,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,"CO, H2O",51 Peg,344.3625,20.7686111,5.49,4.61,4.66,4.23,3.91,15.4614,0.0297,0.0297,0.18,0.1,0.1,1.03,0.126,0.126,1.176,0.051,0.051,G2IV-V,4.0,2.5,2.5,5758.0,110.623,110.623,,,HD 217014
54 Psc b,Confirmed,0.23,0.013,0.297,0.228,0.011,0.011,,,,62.25,0.004,0.004,0.295,0.029,0.029,0.645,0.002,0.002,83.0,56.0,56.0,0.025818,2003,2024-05-28,243.0,3.0,3.0,2453932.6,0.6,0.6,,,,,,,,,,,,,,,,,,,16.6,0.6,0.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,"54 Psc Ab, HD 3651 b",,54 Psc,9.8375,21.2502778,5.8,,,,,11.0,,,0.05,0.05,0.05,0.79,,,0.947,0.032,0.032,K0 V,5.13,,,5173.0,,,IR Excess,,HD 3651
55 Cnc Ab,Confirmed,0.84,0.031,0.23,0.84,0.031,0.131,,,,14.65314,0.00095,0.0009,0.11339,0.00011,0.00011,0.0023,0.0016,0.0025,89.73,24.54,24.49,0.009303,1996,2024-06-19,110.0,54.0,54.0,2453035.0,2.2,2.2,,,,,,,,,,,,,,,,,,,71.47,0.21,0.21,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,"rho1 Cnc Ab, HD 75732 b",,55 Cnc A,133.1492129350179,28.330820831797222,5.95,,4.59,4.14,4.015,12.5855,0.01235,0.01235,0.35,0.1,0.1,0.9,0.115,0.115,0.963,0.0654,0.0654,K0V,10.2,2.5,2.5,5250.0,147.574,147.574,,,"rho1 Cnc, HD 75732, GJ 324 A, rho1 Cnc A, TOI-1773"
55 Cnc Ac,Confirmed,,0.0078,0.0275,0.1784,0.0078,0.0275,,,,44.373,0.018,0.02,0.23735,0.00024,0.00024,0.072,0.014,0.013,,,,0.019473,2002,2024-06-19,356.0,22.0,22.0,2453983.0,3.0,3.0,,,,,,,,,,,,,,,,,,,10.48,0.21,0.21,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,rho1 Cnc Ac,,55 Cnc A,133.1492129350179,28.330820831797222,5.95,,4.59,4.14,4.015,12.5855,0.01235,0.01235,0.35,0.1,0.1,0.9,0.115,0.115,0.963,0.0654,0.0654,K0V,10.2,2.5,2.5,5250.0,147.574,147.574,,,"rho1 Cnc, HD 75732, GJ 324 A, rho1 Cnc A, TOI-1773"
55 Cnc Ad,Confirmed,,0.08,0.08,3.84,0.08,0.08,,,,5574.2,5.0,5.0,5.446,0.02,0.02,0.0269,0.0065,0.061,,,,0.466775,2002,2024-06-19,254.0,32.0,32.0,2453490.0,437.0,437.0,,,,,,,,,,,,,,,,,,,45.2,0.4,0.4,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,"TOI-1773 c, rho1 Cnc Ad",,55 Cnc A,133.1492129350179,28.330820831797222,5.95,,4.59,4.14,4.015,12.5855,0.01235,0.01235,0.35,0.1,0.1,0.9,0.115,0.115,0.963,0.0654,0.0654,K0V,10.2,2.5,2.5,5250.0,147.574,147.574,,,"rho1 Cnc, HD 75732, GJ 324 A, rho1 Cnc A, TOI-1773"
55 Cnc Ae,Confirmed,0.02703,0.00135,0.00135,,,,0.1737,0.00339,0.00339,0.7365478,1.2e-06,1.6e-06,0.015439,1.5e-05,1.5e-05,0.028,0.019,0.022,90.36,4.66,3.96,0.001264,2004,2024-06-19,170.0,130.0,130.0,2449999.83643,0.0001,0.0001,,,,2455962.0697,0.0018,0.0018,,,,72.4,12.0,12.0,,,,,,,6.12,0.2,0.2,,,,,,,,,,Published in a refereed paper,"Radial Velocity, Primary Transit",Radial Velocity,Primary Transit,"TOI-1773 e, HD 75732 e, rho1 Cnc Ae","Ca, Ca+, CCH, Fe, Fe+, H2O, HCN, K, Mg, N, NH3",55 Cnc A,133.1492129350179,28.330820831797222,5.95,,4.59,4.14,4.015,12.5855,0.01235,0.01235,0.35,0.1,0.1,0.9,0.115,0.115,0.963,0.0654,0.0654,K0V,10.2,2.5,2.5,5250.0,147.574,147.574,,,"rho1 Cnc, HD 75732, GJ 324 A, rho1 Cnc A, TOI-1773"
55 Cnc Af,Confirmed,,0.0093,0.0219,0.1479,0.0093,0.0219,,,,260.91,0.36,0.36,0.7733,0.001,0.001,0.08,0.057,0.102,,,,0.06329,2007,2024-06-19,139.0,8.0,8.0,2451878.0,5.0,5.0,,,,,,,,,,,,,,,,,,,4.8,0.2,0.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,rho1 Cnc Af,,55 Cnc A,133.1492129350179,28.330820831797222,5.95,,4.59,4.14,4.015,12.5855,0.01235,0.01235,0.35,0.1,0.1,0.9,0.115,0.115,0.963,0.0654,0.0654,K0V,10.2,2.5,2.5,5250.0,147.574,147.574,,,"rho1 Cnc, HD 75732, GJ 324 A, rho1 Cnc A, TOI-1773"
55 Cnc Bb,Confirmed,,0.0025,0.0025,0.011,0.0025,0.0025,,,,6.7994,0.0014,0.0013,0.044,0.0012,0.0012,0.0,,,,,,,2025,2025-10-14,,,,,,,,,,,,,,,,,,,,,,,,,2.89,0.63,0.61,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,rho1 Cnc Bb,,55 Cnc B,133.17025,28.316333333333333,13.1,,,,,12.477,0.017,0.017,0.16,0.1,0.1,0.26,0.02,0.02,0.274,0.066,0.066,M4.5V,,,,3286.0,31.0,31.0,,,"rho1 Cnc B, GJ 324 B"
55 Cnc Bc,Confirmed,,0.0044,0.0044,0.0167,0.0044,0.0044,,,,33.747,0.035,0.035,0.13,0.003,0.003,0.0,,,,,,,2025,2025-10-14,,,,,,,,,,,,,,,,,,,,,,,,,2.59,0.66,0.65,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,rho1 Cnc Bc,,55 Cnc B,133.17025,28.316333333333333,13.1,,,,,12.477,0.017,0.017,0.16,0.1,0.1,0.26,0.02,0.02,0.274,0.066,0.066,M4.5V,,,,3286.0,31.0,31.0,,,"rho1 Cnc B, GJ 324 B"
61 Vir b,Confirmed,,0.0016,0.0016,0.016,0.0016,0.0016,,,,4.215,0.0006,0.0006,0.050201,5e-06,5e-06,0.12,0.11,0.11,,,,0.005892,2009,2023-08-28,105.0,54.0,54.0,2453369.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 115617 b,,61 Vir,199.6,-18.3111111,4.74,,,,,8.52,0.05,0.05,-0.01,,,0.95,0.03,0.03,0.94,0.029,0.029,G5V,8.96,3.0,3.0,5531.0,,,Imaging,,HD 115617
61 Vir c,Confirmed,,0.0035,0.0035,0.0573,0.0035,0.0035,,,,38.021,0.034,0.034,0.2175,0.0001,0.0001,0.14,0.06,0.06,,,,0.025528,2009,2023-08-28,341.0,38.0,38.0,2453369.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 115617 c,,61 Vir,199.6,-18.3111111,4.74,,,,,8.52,0.05,0.05,-0.01,,,0.95,0.03,0.03,0.94,0.029,0.029,G5V,8.96,3.0,3.0,5531.0,,,Imaging,,HD 115617
